,user,text,favourite_count,retweet_count,created_at
54,elonmusk,"Next Twitter update will remember whether you were on For You (ie recommended), Following or list you made &amp; stop switching you back to recommended tweets",71589,6404,2023-01-21 00:31:38+00:00
55,elonmusk,@cb_doge @APompliano The debt trend is 🤯🤯,3372,266,2023-01-21 00:27:49+00:00
56,elonmusk,"@APompliano More than triple that when you add social security, Medicare &amp; govt pension obligations",37870,2895,2023-01-21 00:26:21+00:00
57,elonmusk,@AdamShawNY Wow,5293,296,2023-01-21 00:22:40+00:00
58,elonmusk,@TaraBull808 Or spending too much time on social media,8917,456,2023-01-21 00:19:14+00:00
59,elonmusk,"In coming months, Twitter will translate &amp; recommend amazing tweets from people in other countries &amp; cultures",280965,24687,2023-01-21 00:18:21+00:00
60,elonmusk,@ryan_pickering_ @welt !!,1418,98,2023-01-21 00:14:10+00:00
61,elonmusk,@rustyrockets @AndrewLawton 🤣,2701,141,2023-01-20 23:43:24+00:00
62,elonmusk,"Exactly! If companies post interesting or entertaining content, they will gain an audience rapidly. https://t.co/0leAmqueHM",31944,3002,2023-01-20 23:23:17+00:00
63,elonmusk,"@DavidSacks I am super pro Ukraine, but relentless escalation is very risky for Ukraine and the world",56464,3935,2023-01-20 23:00:47+00:00
64,elonmusk,@ezralevant Power to the people!,51356,4576,2023-01-20 22:56:43+00:00
65,elonmusk,@teslaownersSV 99% of people still have no idea how profound this is,23779,1093,2023-01-20 22:55:23+00:00
66,elonmusk,"@WallStreetSilv Macron is doing the difficult, but right thing. The retirement age of 62 was set when lifespans were much shorter. It is impossible for a small number of workers to support a massive number of retirees.",92279,5343,2023-01-20 22:50:23+00:00
67,elonmusk,@proetrie 🤣,5594,154,2023-01-20 22:44:23+00:00
68,elonmusk,@BillyM2k @unusual_whales It is actually not true. Employee headcount is almost double that.,5757,362,2023-01-20 22:43:30+00:00
69,elonmusk,@BillyM2k @christinebarnum What are you playing?,5834,285,2023-01-20 21:21:35+00:00
70,elonmusk,@EvaFoxU Cool :),2682,110,2023-01-20 20:48:20+00:00
71,elonmusk,"@TheRabbitHole84 Yes, that will be added in an upcoming release. Also, if your tweet is bookmarked, it will be treated as a “quiet like” and increment your likes counter.",7280,445,2023-01-20 20:35:14+00:00
72,elonmusk,"Major Twitter improvement we just released is that you can now bookmark tweets from tweet details page.

Importantly, bookmarks are *private*, unlike likes. No one other than you can see your bookmarks.",128919,10976,2023-01-20 20:30:40+00:00
73,elonmusk,Twitter app update now available on App Store,135226,10344,2023-01-20 20:20:17+00:00
74,elonmusk,@EvaFoxU True,31053,1015,2023-01-20 20:13:58+00:00
75,elonmusk,@BillyM2k 🥳🥳,3817,171,2023-01-20 20:03:10+00:00
76,elonmusk,"@TitterTakeover Onboarding should have fewer steps, not more, but creating pinned lists should automatically be offered if you swipe past Following. 

Also, we need to offer suggested lists by category, so you can use awesome subject matter lists created by others.",2310,188,2023-01-20 20:02:18+00:00
77,elonmusk,"Use pinned Lists to improve your Twitter experience!

1. Tap Lists on your profile page.
2. Create list of accounts to follow.
3. Tap pin icon. 

This allows you to swipe left/right between For You, Following and Lists.",56072,8224,2023-01-20 19:55:41+00:00
78,elonmusk,"@SawyerMerritt @Tesla Teslas are the safest cars on the road, but most people don’t know that",71867,5538,2023-01-20 19:39:06+00:00
79,elonmusk,@morganisawizard Bolitho also fought in the Battle of the Somme. He was buried alive in a pile of bodies with a broken neck.,6118,265,2023-01-20 19:08:13+00:00
80,elonmusk,@WallStreetSilv Concerning,19238,1028,2023-01-20 18:33:35+00:00
81,elonmusk,@catturd2 @amuse @Twitter This is bizarre. Looking into it.,17923,1274,2023-01-20 18:24:29+00:00
82,elonmusk,@paulg Exactly,8643,414,2023-01-20 16:28:54+00:00
83,elonmusk,"@engineers_feed Ok, maybe a little pontificating",27122,918,2023-01-20 16:06:16+00:00
84,elonmusk,@disclosetv …,34508,1738,2023-01-20 15:48:11+00:00
85,elonmusk,@cb_doge App update has been approved by Apple. Should go out in next day or so.,2202,168,2023-01-20 15:45:00+00:00
86,elonmusk,@mualphaxi The pendulum has swung a bit too far,125577,7149,2023-01-20 05:31:02+00:00
87,elonmusk,"@WallStreetSilv Even if you tax every billionaire in America at 100%, it barely makes a dent in the national debt. In the end, the government will be forced to tax everyone to pay the debt.

Btw, $31T doesn’t include unfunded liabilities, which are *much* higher.",79082,12031,2023-01-20 05:25:17+00:00
88,elonmusk,"@cb_doge @ElijahSchaffer If bots are removed from the system, their likes will be removed too. Are you seeing likes from clearly human accounts disappear?",3367,350,2023-01-20 05:10:01+00:00
89,elonmusk,@ElijahSchaffer Are you still finding engagement to be low?,3817,250,2023-01-20 05:07:43+00:00
90,elonmusk,@teslaownersSV The kind words are appreciated,47152,1712,2023-01-20 04:54:20+00:00
91,elonmusk,@micsolana @teslaownersSV @SjvTesla One of the bot defenses we implemented was flagging any account responding to tweets faster than humanly possible,3975,315,2023-01-20 03:59:54+00:00
92,elonmusk,@stillgray Good question to ask him,20808,1231,2023-01-19 23:31:54+00:00
93,elonmusk,"@teslaownersSV @SjvTesla It is very difficult to stop bots &amp; trolls, while not affecting real users. Won’t be perfect either way, but Twitter is far more resilient to fake accounts than it ever has been.",52395,3622,2023-01-19 21:15:05+00:00
94,elonmusk,"Twitter is arguably already the least wrong source of truth on the Internet, but we obviously still have a long way to go.

Enabling @CommunityNotes to operate at very large scale and providing maximum transparency about how Twitter works are fundamental to building trust.",165062,17294,2023-01-19 21:01:35+00:00
95,elonmusk,"Coming soon are notifications if you’ve replied, liked or retweeted something subsequently corrected by community https://t.co/uBSjJxV7Ww",43650,4859,2023-01-19 20:39:50+00:00
96,elonmusk,@ShellenbergerMD @mgurri The peer-enforced sameness of thought in most of the media is troubling,48441,5577,2023-01-19 19:00:48+00:00
97,elonmusk,"@Js_Makali @financialjuice No, I am wrong too often",4314,241,2023-01-19 18:18:56+00:00
98,elonmusk,"@SenSchumer Trimming some government expenditures would be wise
https://t.co/1EwWyqetir",9628,1115,2023-01-19 18:17:06+00:00
99,elonmusk,@financialjuice Peak oil demand probably happens within the next 5 years,3825,371,2023-01-19 18:14:24+00:00
100,elonmusk,"@financialjuice True, there will be a long tail of usage, but it will peak long before then",17597,829,2023-01-19 18:11:24+00:00
101,elonmusk,@Lukewearechange Ahem …,61434,2595,2023-01-19 18:08:02+00:00
